instance,part_name,changed,expected_change,v15_9_bbox,v15_10_bbox,v15_9_nodes,v15_10_nodes,v15_9_elements,v15_10_elements,status,notes
V15_4_SPILLWAY_LEFT_ABUTMENT_I,V15_4_SPILLWAY_LEFT_ABUTMENT,NO,NO,"-35.000000,-2.900000,3047.500000;-20.000000,6.850000,3079.000000","-35.000000,-2.900000,3047.500000;-20.000000,6.850000,3079.000000",1683,1683,1280,1280,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_RIGHT_ABUTMENT_I,V15_4_SPILLWAY_RIGHT_ABUTMENT,NO,NO,"10.000000,83.850000,3047.500000;38.000000,93.600000,3079.000000","10.000000,83.850000,3047.500000;38.000000,93.600000,3079.000000",2805,2805,2240,2240,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_01_I,V15_4_SPILLWAY_LINTEL_01,NO,NO,"-20.000000,6.850000,3055.230000;10.000000,13.850000,3079.000000","-20.000000,6.850000,3055.230000;10.000000,13.850000,3079.000000",1664,1664,1260,1260,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_02_I,V15_4_SPILLWAY_LINTEL_02,NO,NO,"-20.000000,16.850000,3055.230000;10.000000,23.850000,3079.000000","-20.000000,16.850000,3055.230000;10.000000,23.850000,3079.000000",1664,1664,1260,1260,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_03_I,V15_4_SPILLWAY_LINTEL_03,NO,NO,"-20.000000,26.850000,3055.230000;10.000000,33.850000,3079.000000","-20.000000,26.850000,3055.230000;10.000000,33.850000,3079.000000",1664,1664,1260,1260,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_04_I,V15_4_SPILLWAY_LINTEL_04,NO,NO,"-20.000000,36.850000,3055.230000;10.000000,43.850000,3079.000000","-20.000000,36.850000,3055.230000;10.000000,43.850000,3079.000000",1664,1664,1260,1260,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_05_I,V15_4_SPILLWAY_LINTEL_05,NO,NO,"-20.000000,46.850000,3055.230000;10.000000,53.850000,3079.000000","-20.000000,46.850000,3055.230000;10.000000,53.850000,3079.000000",1664,1664,1260,1260,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_06_I,V15_4_SPILLWAY_LINTEL_06,NO,NO,"-20.000000,56.850000,3055.230000;10.000000,63.850000,3079.000000","-20.000000,56.850000,3055.230000;10.000000,63.850000,3079.000000",1664,1664,1260,1260,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_07_I,V15_4_SPILLWAY_LINTEL_07,NO,NO,"-20.000000,66.850000,3055.230000;10.000000,73.850000,3079.000000","-20.000000,66.850000,3055.230000;10.000000,73.850000,3079.000000",1664,1664,1260,1260,PASS,v15.9 geometry retained byte-for-byte
V15_4_SPILLWAY_LINTEL_08_I,V15_4_SPILLWAY_LINTEL_08,NO,NO,"-20.000000,76.850000,3055.230000;10.000000,83.850000,3079.000000","-20.000000,76.850000,3055.230000;10.000000,83.850000,3079.000000",1664,1664,1260,1260,PASS,v15.9 geometry retained byte-for-byte
