instance,part_name,v15_8_bbox,v15_9_bbox,changed,reason,source_basis,v15_8_nodes,v15_9_nodes,v15_8_elements,v15_9_elements,status
V15_4_SPILLWAY_LINTEL_08_I,V15_4_SPILLWAY_LINTEL_08,"-20.000000,90.000000,3055.230000;10.000000,97.000000,3079.000000","-20.000000,76.850000,3055.230000;10.000000,83.850000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,6200,1664,5040,1260,PASS
V15_4_SPILLWAY_CHUTE_SLAB_I,V15_4_SPILLWAY_CHUTE_SLAB,"10.000000,16.000000,3045.000000;38.000000,133.000000,3047.500000","10.000000,-2.900000,3045.000000;38.000000,93.600000,3047.500000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,1872,3600,1128,2730,PASS
V15_4_SPILLWAY_STILLING_BASIN_I,V15_4_SPILLWAY_STILLING_BASIN,"38.000000,16.000000,3045.000000;145.000000,133.000000,3047.500000","38.000000,-2.900000,3045.000000;145.000000,93.600000,3047.500000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,6336,10560,4042,8385,PASS
V15_4_SPILLWAY_DOWNSTREAM_PROTECTION_I,V15_4_SPILLWAY_DOWNSTREAM_PROTECTION,"145.000000,16.000000,3037.000000;245.000000,133.000000,3043.000000","145.000000,-2.900000,3037.000000;245.000000,93.600000,3043.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,1050,11480,480,9360,PASS
V15_4_ECO_RELEASE_BASE_I,V15_4_ECO_RELEASE_BASE,"-35.000000,-15.000000,3051.500000;-5.000000,-2.500000,3058.000000","-35.000000,-15.400000,3051.500000;-5.000000,-2.900000,3058.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,640,2352,420,1820,PASS
V15_4_ECO_RELEASE_LEFT_I,V15_4_ECO_RELEASE_LEFT_PIER,"-35.000000,-15.000000,3058.000000;-5.000000,-12.000000,3079.000000","-35.000000,-15.400000,3058.000000;-5.000000,-12.400000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,2728,3234,1890,2520,PASS
V15_4_ECO_RELEASE_CENTRAL_I,V15_4_ECO_RELEASE_CENTRAL_PIER,"-35.000000,-9.500000,3058.000000;-5.000000,-7.000000,3079.000000","-35.000000,-9.900000,3058.000000;-5.000000,-7.400000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,2728,2772,1890,2100,PASS
V15_4_ECO_RELEASE_RIGHT_I,V15_4_ECO_RELEASE_RIGHT_PIER,"-35.000000,-4.500000,3058.000000;-5.000000,-2.500000,3079.000000","-35.000000,-4.900000,3058.000000;-5.000000,-2.900000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,2046,2772,1260,2100,PASS
V15_4_ECO_RELEASE_LINTEL_01_I,V15_4_ECO_RELEASE_LINTEL_01,"-35.000000,-12.000000,3063.000000;-5.000000,-9.500000,3079.000000","-35.000000,-12.400000,3063.000000;-5.000000,-9.900000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,2108,2142,1440,1600,PASS
V15_4_ECO_RELEASE_LINTEL_02_I,V15_4_ECO_RELEASE_LINTEL_02,"-35.000000,-7.000000,3063.000000;-5.000000,-4.500000,3079.000000","-35.000000,-7.400000,3063.000000;-5.000000,-4.900000,3079.000000",YES,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,source flood-release chain: eco 12.5 m directly adjacent to 8 spillway bays; 8x7 m clear bays; frontage 109 m,2108,2142,1440,1600,PASS
