Element label,Part,Instance,Element set,Material,Section,Coordinates,Error type
840,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-153.324365300,3057.451613000;441.250000000,-152.335625900,3057.967742000",NEGATIVE_VOLUME
841,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-154.313104800,3057.467742000;441.250000000,-153.324365300,3057.983871000",NEGATIVE_VOLUME
842,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-155.301844200,3057.483871000;441.250000000,-154.313104800,3058.000000000",NEGATIVE_VOLUME
843,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-94.988739420,3057.000000000;439.000000000,-94.000000000,3059.016129000",NEGATIVE_VOLUME
844,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-95.977478840,3057.016129000;439.000000000,-94.988739420,3059.032258000",NEGATIVE_VOLUME
845,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-96.966218270,3057.032258000;439.000000000,-95.977478840,3059.048387000",NEGATIVE_VOLUME
846,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-97.954957690,3057.048387000;439.000000000,-96.966218270,3059.064516000",NEGATIVE_VOLUME
847,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-98.943697110,3057.064516000;439.000000000,-97.954957690,3059.080645000",NEGATIVE_VOLUME
848,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-99.932436530,3057.080645000;439.000000000,-98.943697110,3059.096774000",NEGATIVE_VOLUME
849,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-100.921176000,3057.096774000;439.000000000,-99.932436530,3059.112903000",NEGATIVE_VOLUME
850,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-101.909915400,3057.112903000;439.000000000,-100.921176000,3059.129032000",NEGATIVE_VOLUME
851,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-102.898654800,3057.129032000;439.000000000,-101.909915400,3059.145161000",NEGATIVE_VOLUME
852,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-103.887394200,3057.145161000;439.000000000,-102.898654800,3059.161290000",NEGATIVE_VOLUME
853,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-104.876133600,3057.161290000;439.000000000,-103.887394200,3059.177419000",NEGATIVE_VOLUME
854,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-105.864873100,3057.177419000;439.000000000,-104.876133600,3059.193548000",NEGATIVE_VOLUME
855,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-106.853612500,3057.193548000;439.000000000,-105.864873100,3059.209677000",NEGATIVE_VOLUME
856,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-107.842351900,3057.209677000;439.000000000,-106.853612500,3059.225806000",NEGATIVE_VOLUME
857,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-108.831091300,3057.225806000;439.000000000,-107.842351900,3059.241935000",NEGATIVE_VOLUME
858,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-109.819830800,3057.241935000;439.000000000,-108.831091300,3059.258065000",NEGATIVE_VOLUME
859,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-110.808570200,3057.258065000;439.000000000,-109.819830800,3059.274194000",NEGATIVE_VOLUME
860,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-111.797309600,3057.274194000;439.000000000,-110.808570200,3059.290323000",NEGATIVE_VOLUME
861,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-112.786049000,3057.290323000;439.000000000,-111.797309600,3059.306452000",NEGATIVE_VOLUME
862,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-113.774788400,3057.306452000;439.000000000,-112.786049000,3059.322581000",NEGATIVE_VOLUME
863,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-114.763527900,3057.322581000;439.000000000,-113.774788400,3059.338710000",NEGATIVE_VOLUME
864,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-115.752267300,3057.338710000;439.000000000,-114.763527900,3059.354839000",NEGATIVE_VOLUME
865,V15_4_FISHWAY,V15_4_FISHWAY_I,V15_10_ALL,CONCRETE,V15_10_ALL,"438.750000000,-116.741006700,3057.354839000;439.000000000,-115.752267300,3059.370968000",NEGATIVE_VOLUME
