instance,part,role,global_bbox,centroid,nearest_named_neighbors,transformed_source,status
V15_4_SPILLWAY_INTERMEDIATE_PIER_01_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_01,spillway_or_stilling_basin,"-20.000000000,13.850000000,3047.500000000;10.000000000,16.850000000,3079.000000000","-5.000000000,15.350000000,3063.250000000",V15_4_SPILLWAY_CHUTE_SLAB_I (0.000000 m);V15_4_SPILLWAY_LINTEL_01_I (0.000000 m);V15_4_SPILLWAY_LINTEL_02_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_02_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_02,spillway_or_stilling_basin,"-20.000000000,23.850000000,3047.500000000;10.000000000,26.850000000,3079.000000000","-5.000000000,25.350000000,3063.250000000",V15_4_SPILLWAY_CHUTE_SLAB_I (0.000000 m);V15_4_SPILLWAY_LINTEL_02_I (0.000000 m);V15_4_SPILLWAY_LINTEL_03_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_03_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_03,spillway_or_stilling_basin,"-20.000000000,33.850000000,3047.500000000;10.000000000,36.850000000,3079.000000000","-5.000000000,35.350000000,3063.250000000",V15_4_SPILLWAY_CHUTE_SLAB_I (0.000000 m);V15_4_SPILLWAY_LINTEL_03_I (0.000000 m);V15_4_SPILLWAY_LINTEL_04_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_04_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_04,spillway_or_stilling_basin,"-20.000000000,43.850000000,3047.500000000;10.000000000,46.850000000,3079.000000000","-5.000000000,45.350000000,3063.250000000",V15_4_SPILLWAY_CHUTE_SLAB_I (0.000000 m);V15_4_SPILLWAY_LINTEL_04_I (0.000000 m);V15_4_SPILLWAY_LINTEL_05_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_05_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_05,spillway_or_stilling_basin,"-20.000000000,53.850000000,3047.500000000;10.000000000,56.850000000,3079.000000000","-5.000000000,55.350000000,3063.250000000",V15_4_SPILLWAY_CHUTE_SLAB_I (0.000000 m);V15_4_SPILLWAY_LINTEL_05_I (0.000000 m);V15_4_SPILLWAY_LINTEL_06_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_06_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_06,spillway_or_stilling_basin,"-20.000000000,63.850000000,3047.500000000;10.000000000,66.850000000,3079.000000000","-5.000000000,65.350000000,3063.250000000",V15_4_SPILLWAY_CHUTE_SLAB_I (0.000000 m);V15_4_SPILLWAY_LINTEL_06_I (0.000000 m);V15_4_SPILLWAY_LINTEL_07_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_INTERMEDIATE_PIER_07_I,V15_4_SPILLWAY_INTERMEDIATE_PIER_07,spillway_or_stilling_basin,"-20.000000000,73.850000000,3047.500000000;10.000000000,76.850000000,3079.000000000","-5.000000000,75.350000000,3063.250000000",V15_4_SPILLWAY_CHUTE_SLAB_I (0.000000 m);V15_4_SPILLWAY_LINTEL_07_I (0.000000 m);V15_4_SPILLWAY_LINTEL_08_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_LEFT_ABUTMENT_I,V15_4_SPILLWAY_LEFT_ABUTMENT,spillway_or_stilling_basin,"-35.000000000,-2.900000000,3047.500000000;-20.000000000,6.850000000,3079.000000000","-27.500000000,1.975000000,3063.250000000",V15_4_ECO_RELEASE_BASE_I (0.000000 m);V15_4_ECO_RELEASE_RIGHT_I (0.000000 m);V15_4_ECO_RELEASE_TOP_CAP_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_RIGHT_ABUTMENT_I,V15_4_SPILLWAY_RIGHT_ABUTMENT,spillway_or_stilling_basin,"10.000000000,83.850000000,3047.500000000;38.000000000,93.600000000,3079.000000000","24.000000000,88.725000000,3063.250000000",V15_4_SPILLWAY_CHUTE_SLAB_I (0.000000 m);V15_4_SPILLWAY_LINTEL_08_I (0.000000 m);V15_4_SPILLWAY_STILLING_BASIN_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
V15_4_SPILLWAY_LINTEL_01_I,V15_4_SPILLWAY_LINTEL_01,spillway_or_stilling_basin,"-20.000000000,6.850000000,3055.230000000;10.000000000,13.850000000,3079.000000000","-5.000000000,10.350000000,3067.115000000",V15_4_SPILLWAY_INTERMEDIATE_PIER_01_I (0.000000 m);V15_4_SPILLWAY_LEFT_ABUTMENT_I (0.000000 m);V15_7_FOUNDATION_GEOLOGY_I (0.000000 m),INP *Instance placement: identity (no data rows),PASS
