instance,part,translation,axis_point_1,axis_point_2,angle_deg,placement_rows,transform_source,global_bbox,node_count,element_count,element_types,status
V15_4_ECO_RELEASE_APPROACH_SLAB_I,V15_4_ECO_RELEASE_APPROACH_SLAB,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-5.000000000,-15.400000000,3050.000000000;25.000000000,-2.900000000,3058.000000000",2646,2080,C3D8R,PASS
V15_4_ECO_RELEASE_OUTLET_SLAB_I,V15_4_ECO_RELEASE_OUTLET_SLAB,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"25.000000000,-15.400000000,3050.000000000;38.000000000,-2.900000000,3051.000000000",588,338,C3D8R,PASS
V15_4_ECO_RELEASE_LINK_TO_BASIN_I,V15_4_ECO_RELEASE_LINK_TO_BASIN,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"25.000000000,-2.900000000,3049.000000000;38.000000000,6.850000000,3050.000000000",462,260,C3D8R,PASS
V15_4_LEFT_BANK_SUBDAM_I,V15_4_LEFT_BANK_SUBDAM,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-70.850000000,-245.700000000,3059.000000000;-56.000000000,-156.000000000,3079.000000000",3160,2280,C3D8R,PASS
V15_4_FISHWAY_I,V15_4_FISHWAY,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-68.850000000,-641.243955700,3053.000000000;441.250000000,-58.873689690,3076.000000000",13916,4164,C3D8R,PASS
V15_4_FISHWAY_OUTLET_CHAMBER_I,V15_4_FISHWAY_OUTLET_CHAMBER,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-52.850000000,-503.678955900,3072.000000000;-48.850000000,-483.678955900,3078.000000000",777,400,C3D8R,PASS
V15_4_FISHWAY_UPSTREAM_OUTLET_I,V15_4_FISHWAY_UPSTREAM_OUTLET,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-52.850000000,-678.813955700,3074.000000000;-48.850000000,-641.243955700,3079.000000000",1170,760,C3D8R,PASS
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_01,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-30.000000000,-96.600000000,3037.000000000;24.000000000,-94.100000000,3046.000000000",2574,1760,C3D8R,PASS
V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02_I,V15_4_POWERHOUSE_SEDIMENT_FLUSHING_OUTLET_02,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-30.000000000,-43.300000000,3037.000000000;24.000000000,-40.800000000,3046.000000000",2574,1760,C3D8R,PASS
V15_7_FOUNDATION_GEOLOGY_I,V15_7_FOUNDATION_GEOLOGY,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-600.000000000,-1000.000000000,2600.000000000;900.000000000,850.000000000,3426.400000000",641193,591301,C3D8P;C3D8R,PASS
V15_11_LEFT_COMPACTED_SAND_GRAVEL_I,V15_11_LEFT_COMPACTED_SAND_GRAVEL,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-70.850000000,-245.700000000,3025.030000000;-55.850000000,-120.000000000,3059.000000000",2094,838,C3D8P,PASS
V15_12_LEFT_BANK_CUTOFF_WALL_I,V15_12_LEFT_BANK_CUTOFF_WALL,"0.000000000,0.000000000,0.000000000",,,0.000000000,0,INP *Instance placement: identity (no data rows),"-36.000000000,70.000000000,3021.000000000;-35.000000000,150.000000000,3073.510000000",374,160,C3D8P,PASS
