instance,part,group,x_min,x_max,y_min,y_max,z_min,z_max,length_x,length_y,height_z,status
V15_3_SPILLWAY_RIGHT_GUIDE_WALL_I,V15_3_SPILLWAY_RIGHT_GUIDE_WALL,SPILLWAY,10.000,38.000,97.000,133.000,3047.500,3079.000,28.000,36.000,31.500,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_LINTEL_01_I,V15_3_SPILLWAY_LINTEL_01,SPILLWAY,-20.000,10.000,20.000,27.000,3055.230,3079.000,30.000,7.000,23.770,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_LINTEL_02_I,V15_3_SPILLWAY_LINTEL_02,SPILLWAY,-20.000,10.000,30.000,37.000,3055.230,3079.000,30.000,7.000,23.770,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_LINTEL_03_I,V15_3_SPILLWAY_LINTEL_03,SPILLWAY,-20.000,10.000,40.000,47.000,3055.230,3079.000,30.000,7.000,23.770,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_LINTEL_04_I,V15_3_SPILLWAY_LINTEL_04,SPILLWAY,-20.000,10.000,50.000,57.000,3055.230,3079.000,30.000,7.000,23.770,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_LINTEL_05_I,V15_3_SPILLWAY_LINTEL_05,SPILLWAY,-20.000,10.000,60.000,67.000,3055.230,3079.000,30.000,7.000,23.770,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_LINTEL_06_I,V15_3_SPILLWAY_LINTEL_06,SPILLWAY,-20.000,10.000,70.000,77.000,3055.230,3079.000,30.000,7.000,23.770,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_LINTEL_07_I,V15_3_SPILLWAY_LINTEL_07,SPILLWAY,-20.000,10.000,80.000,87.000,3055.230,3079.000,30.000,7.000,23.770,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_LINTEL_08_I,V15_3_SPILLWAY_LINTEL_08,SPILLWAY,-20.000,10.000,90.000,97.000,3055.230,3079.000,30.000,7.000,23.770,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_CHUTE_SLAB_I,V15_3_SPILLWAY_CHUTE_SLAB,SPILLWAY,10.000,38.000,16.000,133.000,3045.000,3047.500,28.000,117.000,2.500,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_STILLING_BASIN_I,V15_3_SPILLWAY_STILLING_BASIN,SPILLWAY,38.000,145.000,16.000,133.000,3045.000,3047.500,107.000,117.000,2.500,NEW_V15_3_GEOMETRY
V15_3_SPILLWAY_DOWNSTREAM_PROTECTION_I,V15_3_SPILLWAY_DOWNSTREAM_PROTECTION,NATURAL_RIVERBED,145.000,245.000,16.000,133.000,3037.000,3043.000,100.000,117.000,6.000,NEW_V15_3_GEOMETRY
V15_3_ECO_RELEASE_LEFT_PIER_I,V15_3_ECO_RELEASE_LEFT_PIER,ECO_RELEASE,-35.000,-5.000,-15.000,-12.000,3058.000,3085.500,30.000,3.000,27.500,NEW_V15_3_GEOMETRY
V15_3_ECO_RELEASE_CENTRAL_PIER_I,V15_3_ECO_RELEASE_CENTRAL_PIER,ECO_RELEASE,-35.000,-5.000,-9.500,-7.000,3058.000,3085.500,30.000,2.500,27.500,NEW_V15_3_GEOMETRY
V15_3_ECO_RELEASE_RIGHT_PIER_I,V15_3_ECO_RELEASE_RIGHT_PIER,ECO_RELEASE,-35.000,-5.000,-4.500,-2.500,3058.000,3085.500,30.000,2.000,27.500,NEW_V15_3_GEOMETRY
V15_3_ECO_RELEASE_LINTEL_01_I,V15_3_ECO_RELEASE_LINTEL_01,ECO_RELEASE,-35.000,-5.000,-12.000,-9.500,3063.000,3085.500,30.000,2.500,22.500,NEW_V15_3_GEOMETRY
V15_3_ECO_RELEASE_LINTEL_02_I,V15_3_ECO_RELEASE_LINTEL_02,ECO_RELEASE,-35.000,-5.000,-7.000,-4.500,3063.000,3085.500,30.000,2.500,22.500,NEW_V15_3_GEOMETRY
V15_3_ECO_RELEASE_TOP_CAP_I,V15_3_ECO_RELEASE_TOP_CAP,ECO_RELEASE,-35.000,-19.000,-15.000,-2.500,3083.500,3085.500,16.000,12.500,2.000,NEW_V15_3_GEOMETRY
V15_3_ECO_RELEASE_APPROACH_SLAB_I,V15_3_ECO_RELEASE_APPROACH_SLAB,ECO_RELEASE,-5.000,25.000,-15.000,-2.500,3050.000,3058.000,30.000,12.500,8.000,NEW_V15_3_GEOMETRY
V15_3_ECO_RELEASE_OUTLET_SLAB_I,V15_3_ECO_RELEASE_OUTLET_SLAB,ECO_RELEASE,25.000,38.000,-15.000,-2.500,3050.000,3051.000,13.000,12.500,1.000,NEW_V15_3_GEOMETRY
V15_3_ECO_RELEASE_LINK_TO_BASIN_I,V15_3_ECO_RELEASE_LINK_TO_BASIN,ECO_RELEASE,25.000,38.000,-2.500,16.000,3049.000,3050.000,13.000,18.500,1.000,NEW_V15_3_GEOMETRY
V15_3_LEFT_BANK_SUBDAM_I,V15_3_LEFT_BANK_SUBDAM,LEFT_BANK_SUBDAM,398.000,430.000,-610.000,-584.000,3030.000,3079.000,32.000,26.000,49.000,NEW_V15_3_GEOMETRY
V15_3_FISHWAY_I,V15_3_FISHWAY,FISHWAY,30.000,414.120,-1044.690,-60.120,3053.000,3076.000,384.120,984.570,23.000,NEW_V15_3_GEOMETRY
V15_3_FISHWAY_OUTLET_CHAMBER_I,V15_3_FISHWAY_OUTLET_CHAMBER,FISHWAY,403.120,407.120,-907.120,-887.120,3073.000,3079.000,4.000,20.000,6.000,NEW_V15_3_GEOMETRY
V15_3_FISHWAY_UPSTREAM_OUTLET_I,V15_3_FISHWAY_UPSTREAM_OUTLET,FISHWAY,403.120,407.120,-1044.690,-1007.120,3074.000,3079.000,4.000,37.570,5.000,NEW_V15_3_GEOMETRY
V15_3_FISHWAY_SLOPE_EXCAVATION_I,V15_3_FISHWAY_SLOPE_EXCAVATION,EXCAVATION_AUDIT,26.000,416.120,-1049.000,-52.000,3049.000,3072.500,390.120,997.000,23.500,NEW_V15_3_GEOMETRY
