instance,part,mesh_class,nodes,elements,source_nodes,source_elements,delta_nodes,delta_elements,remeshed,bbox
LEFT_L11_Q2FGL_IV_I,LEFT_L11_Q2FGL_IV,M3_M4_GEOLOGY,1071,640,1071,640,0,0,NO,"-600.000000,-700.000000,2935.958980;900.000000,150.000000,2993.121830"
LEFT_L12_Q2FGL_III_I,LEFT_L12_Q2FGL_III,M3_M4_GEOLOGY,1071,640,1071,640,0,0,NO,"-600.000000,-700.000000,2893.610840;900.000000,150.000000,2977.119380"
LEFT_L13_Q2FGL_II_I,LEFT_L13_Q2FGL_II,M3_M4_GEOLOGY,1071,640,1071,640,0,0,NO,"-600.000000,-700.000000,2862.405520;900.000000,150.000000,2954.009520"
LEFT_L14_Q2FGL_I_I,LEFT_L14_Q2FGL_I,M3_M4_GEOLOGY,1785,1280,1785,1280,0,0,NO,"-600.000000,-700.000000,2738.199950;900.000000,150.000000,2936.980470"
RIVER_R02_Q4AL_SGR2_I,V15_5_REFINED_RIVER_R02_Q4AL_SGR2_I,M3_M4_GEOLOGY,915,496,378,160,537,336,YES,"-600.000000,150.000000,3050.699220;900.000000,445.000000,3060.707520"
RIVER_R05_Q3AL_IV2_I,V15_5_REFINED_RIVER_R05_Q3AL_IV2_I,M3_M4_GEOLOGY,915,496,378,160,537,336,YES,"-600.000000,150.000000,3048.788330;900.000000,445.000000,3060.351320"
RIVER_R06_Q3AL_IV1_I,V15_5_REFINED_RIVER_R06_Q3AL_IV1_I,M3_M4_GEOLOGY,1483,992,567,320,916,672,YES,"-600.000000,150.000000,3043.984130;900.000000,445.000000,3059.841800"
RIVER_R07_Q3AL_III_I,V15_5_REFINED_RIVER_R07_Q3AL_III_I,M3_M4_GEOLOGY,915,496,378,160,537,336,YES,"-600.000000,150.000000,3041.191890;900.000000,445.000000,3058.560790"
RIVER_R08_Q3AL_II_I,V15_5_REFINED_RIVER_R08_Q3AL_II_I,M3_M4_GEOLOGY,915,496,378,160,537,336,YES,"-600.000000,150.000000,3037.751220;900.000000,445.000000,3057.816160"
RIVER_R09_Q3AL_I_I,V15_5_REFINED_RIVER_R09_Q3AL_I_I,M3_M4_GEOLOGY,915,496,378,160,537,336,YES,"-600.000000,150.000000,3035.721440;900.000000,445.000000,3056.898440"
RIVER_R10_Q2FGL_V_I,V15_5_REFINED_RIVER_R10_Q2FGL_V_I,M3_M4_GEOLOGY,1442,957,567,320,875,637,YES,"-600.000000,150.000000,3030.394780;900.000000,445.000000,3056.357420"
RIVER_R11_Q2FGL_IV_I,V15_5_REFINED_RIVER_R11_Q2FGL_IV_I,M3_M4_GEOLOGY,1391,915,567,320,824,595,YES,"-600.000000,150.000000,3024.136470;900.000000,445.000000,3054.936770"
RIVER_R12_Q2FGL_III_I,V15_5_REFINED_RIVER_R12_Q2FGL_III_I,M3_M4_GEOLOGY,1292,831,567,320,725,511,YES,"-600.000000,150.000000,3015.098630;900.000000,445.000000,3053.267820"
RIVER_R13_Q2FGL_II_I,V15_5_REFINED_RIVER_R13_Q2FGL_II_I,M3_M4_GEOLOGY,1108,691,567,320,541,371,YES,"-600.000000,150.000000,3008.439210;900.000000,445.000000,3050.857910"
RIVER_R14_Q2FGL_I_I,V15_5_REFINED_RIVER_R14_Q2FGL_I_I,M3_M4_GEOLOGY,1294,858,756,480,538,378,YES,"-600.000000,150.000000,2992.034910;900.000000,445.000000,3049.082030"
RIVER_ROCK_STRONG_UNLOADED_I,V15_5_REFINED_RIVER_ROCK_STRONG_UNLOADED_I,M3_M4_GEOLOGY,662,369,567,320,95,49,YES,"-600.000000,150.000000,2962.034910;900.000000,445.000000,3044.707520"
RIVER_ROCK_WEAK_UNLOADED_I,RIVER_ROCK_WEAK_UNLOADED,M3_M4_GEOLOGY,567,320,567,320,0,0,NO,"-600.000000,150.000000,2947.034910;900.000000,445.000000,3014.707520"
RIVER_ROCK_DEEP_UNLOADED_I,RIVER_ROCK_DEEP_UNLOADED,M3_M4_GEOLOGY,567,320,567,320,0,0,NO,"-600.000000,150.000000,2817.034910;900.000000,445.000000,2999.707520"
RIVER_FRESH_GRANITE_I,RIVER_FRESH_GRANITE,M3_M4_GEOLOGY,567,320,567,320,0,0,NO,"-600.000000,150.000000,2600.000000;900.000000,445.000000,2869.707520"
RIGHT_Q4_COLLUVIAL_I,RIGHT_Q4_COLLUVIAL,M3_M4_GEOLOGY,336,140,336,140,0,0,NO,"-600.000000,445.000000,3074.899900;900.000000,850.000000,3426.399900"
RIGHT_R04_Q3AL_V_I,RIGHT_R04_Q3AL_V,M3_M4_GEOLOGY,504,280,504,280,0,0,NO,"-600.000000,445.000000,3059.399900;900.000000,850.000000,3423.399900"
RIGHT_HIGH_TERRACE_COVER_I,RIGHT_HIGH_TERRACE_COVER,M3_M4_GEOLOGY,168,60,168,60,0,0,NO,"-600.000000,615.000000,3271.733400;900.000000,790.000000,3398.199950"
RIGHT_ROCK_STRONG_UNLOADED_I,RIGHT_ROCK_STRONG_UNLOADED,M3_M4_GEOLOGY,504,280,504,280,0,0,NO,"-600.000000,445.000000,3029.399900;900.000000,850.000000,3376.399900"
RIGHT_ROCK_WEAK_UNLOADED_I,V15_5_REFINED_RIGHT_ROCK_WEAK_UNLOADED_I,M3_M4_GEOLOGY,383,161,336,140,47,21,YES,"-600.000000,445.000000,3014.399900;900.000000,850.000000,3346.399900"
