global_y_m,bottom_z_m,top_z_m,depth_m,xmin_m,xmax_m,thickness_x_m
349.324300,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
353.310800,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
357.297300,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
361.283800,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
365.270300,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
369.256800,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
373.243200,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
377.229700,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
381.216200,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
385.202700,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
389.189200,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
393.175700,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
397.162200,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
401.148600,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
405.135100,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
409.121600,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
413.108100,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
417.094600,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
421.081100,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
425.067600,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
429.054100,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
433.040500,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
437.027000,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
441.013500,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
445.000000,3021.000000,3073.511470,52.511470,-36.000000,-35.000000,1.000000
