instance,part,active_v12,active_v14,active_v15,nodes,elements,element_type,x_min,x_max,y_min,y_max,z_min,z_max,material,classification
FISHWAY_SEGMENT_01_I,FISHWAY_SEGMENT_01,YES,NO,NO,12,2,C3D8R,80.0,170.0,-440.0,-420.0,3054.0,3058.0,CONCRETE,REUSE_AS_IS
FISHWAY_SEGMENT_02_I,FISHWAY_SEGMENT_02,YES,NO,NO,12,2,C3D8R,170.0,270.0,-470.0,-440.0,3058.0,3061.0,CONCRETE,REUSE_AS_IS
FISHWAY_SEGMENT_03_I,FISHWAY_SEGMENT_03,YES,NO,NO,12,2,C3D8R,270.0,380.0,-510.0,-470.0,3061.0,3065.0,CONCRETE,REUSE_AS_IS
FISHWAY_SEGMENT_04_I,FISHWAY_SEGMENT_04,YES,NO,NO,12,2,C3D8R,380.0,500.0,-550.0,-510.0,3065.0,3069.0,CONCRETE,REUSE_AS_IS
FISHWAY_SEGMENT_05_I,FISHWAY_SEGMENT_05,YES,NO,NO,12,2,C3D8R,500.0,620.0,-590.0,-550.0,3069.0,3072.0,CONCRETE,REUSE_AS_IS
FISHWAY_SEGMENT_06_I,FISHWAY_SEGMENT_06,YES,NO,NO,12,2,C3D8R,620.0,760.0,-620.0,-590.0,3072.0,3074.0,CONCRETE,REUSE_AS_IS
CUTOFF_WALL_POWERHOUSE_I,CUTOFF_WALL_POWERHOUSE,YES,NO,NO,56,18,C3D8R,-10.0,-8.0,-122.0,-15.0,3011.0,3029.69995,CONCRETE,REUSE_AS_IS
RIGHT_CURTAIN_GROUTING_ZONE_I,RIGHT_CURTAIN_GROUTING_ZONE,YES,NO,NO,84,30,C3D8R,-9.0,-6.0,445.0,650.0,2980.0,3075.0,ROCK_WEAK_UNLOADED,REUSE_AS_IS
P25_SOLID_DRAINAGE_BODY_F00-1,P25_SOLID_DRAINAGE_BODY_F00,YES,YES,YES,975,518,C3D8P,25.4750977,42.0,3055.0,3062.03638,0.0,295.0,P25_PAISHUITI,REUSE_AS_IS
P25_SOLID_FILTER_LAYER_F01-1,P25_SOLID_FILTER_LAYER_F01,YES,YES,YES,2625,1480,C3D6P;C3D8P,-20.8150616,26.0617981,3055.0,3075.79736,0.0,295.0,P25_FANLV,REUSE_AS_IS
P25_SOLID_DAM_SHELL_GRAVEL_F02-1,P25_SOLID_DAM_SHELL_GRAVEL_F02,YES,YES,YES,5850,4292,C3D6P;C3D8P,-28.5,29.9373055,3057.77637,3077.64893,0.0,295.0,P25_BAKESHALI,REUSE_AS_IS
P25_SOLID_DRAINAGE_BODY_F03-1,P25_SOLID_DRAINAGE_BODY_F03,YES,YES,YES,2550,1184,C3D8P,-19.8172073,27.2357502,3055.92505,3075.79736,0.0,295.0,P25_PAISHUITI,REUSE_AS_IS
P25_SOLID_DAM_SHELL_GRAVEL_F06-1,P25_SOLID_DAM_SHELL_GRAVEL_F06,YES,YES,YES,2400,1702,C3D6P;C3D8P,-34.5,-10.4930668,3055.87085,3071.6604,0.0,295.0,P25_BAKESHALI,REUSE_AS_IS
P25_SOLID_DAM_SHELL_GRAVEL_F08-1,P25_SOLID_DAM_SHELL_GRAVEL_F08,YES,YES,YES,3375,1628,C3D6P;C3D8P,-34.5,44.4864006,3055.0,3079.5,0.0,295.0,P25_BAKESHALI,REUSE_AS_IS
P25_SOLID_MAIN_ROCKFILL_F09-1,P25_SOLID_MAIN_ROCKFILL_F09,YES,YES,YES,2775,1998,C3D6P;C3D8P,-72.3419037,-36.5,3057.77661,3071.6604,0.0,295.0,P25_WEIYANJITI,REUSE_AS_IS
P25_SOLID_UPSTREAM_GRAVEL_FILL_F10-1,P25_SOLID_UPSTREAM_GRAVEL_FILL_F10,YES,YES,YES,1575,1036,C3D6P;C3D8P,-80.5,-50.6275253,3058.07397,3063.38916,0.0,295.0,P25_WEIYANSHALI,REUSE_AS_IS
P25_SOLID_MAIN_ROCKFILL_F11-1,P25_SOLID_MAIN_ROCKFILL_F11,YES,YES,YES,900,444,C3D6P;C3D8P,-87.5,-66.0,3058.70239,3067.03247,0.0,295.0,P25_WEIYANJITI,REUSE_AS_IS
P25_SOLID_IMPERMEABLE_FILL_F12-1,P25_SOLID_IMPERMEABLE_FILL_F12,YES,YES,YES,2325,1110,C3D6P;C3D8P,-90.5,-36.5,3059.16504,3073.51147,0.0,295.0,P25_BIQILIAO,REUSE_AS_IS
