instance,element_label,x,y,z,mean_pore_pressure,hydraulic_head,gradient_x,gradient_y,gradient_z,gradient_norm,neighbor_count,status
P25_SOLID_CUTOFF_WALL_F13-1,32454,-35.5,455.0000305175781,3071.5250244140625,0.9439231753349304,3071.621244921232,,,,,5,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32455,-35.5,459.0000305175781,3021.469970703125,7.7357635498046875,3022.25852967864,,,,,5,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32456,-35.5,459.0000305175781,3023.9249267578125,-2.8715991973876953,3023.63220512709,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32457,-35.5,459.0000305175781,3027.8948974609375,-6.146183013916016,3027.268375237297,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32458,-35.5,459.0000305175781,3031.8599853515625,-4.539072036743164,3031.397286876869,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32459,-35.5,459.0000305175781,3035.8250732421875,-6.23455810546875,3035.1895423445862,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32460,-35.5,459.0000305175781,3039.7950439453125,-4.295866012573242,3039.3571371142652,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32461,-35.5,459.0000305175781,3043.760009765625,-4.596979141235352,3043.2914084260497,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32462,-35.5,459.0000305175781,3047.7249755859375,-3.19069766998291,3047.399726078294,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32463,-35.5,459.0000305175781,3051.6949462890625,-2.832683563232422,3051.406191593524,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32464,-35.5,459.0000305175781,3055.659912109375,-1.892277717590332,3055.4670193756756,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32465,-35.5,459.0000305175781,3059.625,-1.503394603729248,3059.4717487661846,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32466,-35.5,459.0000305175781,3063.5950927734375,-0.8272950649261475,3063.510760962538,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32467,-35.5,459.0000305175781,3067.56005859375,-0.32163572311401367,3067.5272720776325,,,,,8,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32468,-35.5,459.0000305175781,3071.5250244140625,0.5837714076042175,3071.584532202809,,,,,5,UNRESOLVED_LOCAL_GEOMETRY
P25_SOLID_CUTOFF_WALL_F13-1,32469,-35.5,463.0000305175781,3021.469970703125,5.095439910888672,3021.989383538078,,,,,5,UNRESOLVED_LOCAL_GEOMETRY
