step,nset,node_z_m,old_p_kPa,new_p_kPa,target_downstream_head_m,basis
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00026,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00027,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00028,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00029,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00030,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00031,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00032,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00033,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00034,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00035,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00036,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00037,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00038,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00039,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00040,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00041,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00042,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00043,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00044,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00045,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00046,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00047,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00048,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00049,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00050,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00051,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00052,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00053,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00054,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00055,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00056,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00057,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00058,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00059,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00060,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00061,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00062,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00063,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00064,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00065,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00066,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00067,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00068,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00069,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00070,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00071,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00072,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00073,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S05_CHECK_FLOOD_AND_SEISMIC,V12_D_00074,3055.000000,0.000000,62.587800,3061.38,check-flood stability case
S06_DRAWDOWN_TO_3074M,V12_D_00000,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00001,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00002,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00003,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00004,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00005,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00006,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00007,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00008,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00009,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00010,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00011,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00012,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00013,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00014,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00015,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00016,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00017,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00018,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00019,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00020,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00021,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00022,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00023,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00024,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00025,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00026,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00027,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00028,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00029,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00030,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00031,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00032,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00033,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00034,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00035,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00036,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00037,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00038,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00039,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00040,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
S06_DRAWDOWN_TO_3074M,V12_D_00041,3055.000000,0.000000,0.000000,3053.50,dead-water/drawdown stability case
