instance,part,group,x_min,x_max,y_min,y_max,z_min,z_max,length_x,length_y,height_z,status
V15_2_ECO_RELEASE_CENTRAL_PIER_I,V15_2_ECO_RELEASE_CENTRAL_PIER,ECO_RELEASE,-31.000,-19.000,-2.500,2.500,3058.000,3077.500,12.000,5.000,19.500,NEW_V15_2_GEOMETRY
V15_2_ECO_RELEASE_LINTEL_I,V15_2_ECO_RELEASE_LINTEL,ECO_RELEASE,-31.000,-19.000,-15.000,15.000,3070.000,3077.500,12.000,30.000,7.500,NEW_V15_2_GEOMETRY
V15_2_ECO_RELEASE_APPROACH_SLAB_I,V15_2_ECO_RELEASE_APPROACH_SLAB,ECO_RELEASE,-35.000,-15.000,-15.000,15.000,3050.000,3058.000,20.000,30.000,8.000,NEW_V15_2_GEOMETRY
V15_2_ECO_RELEASE_OUTLET_SLAB_I,V15_2_ECO_RELEASE_OUTLET_SLAB,ECO_RELEASE,-15.000,10.000,-15.000,10.000,3050.000,3051.000,25.000,25.000,1.000,NEW_V15_2_GEOMETRY
V15_2_ECO_RELEASE_LINK_TO_BASIN_I,V15_2_ECO_RELEASE_LINK_TO_BASIN,ECO_RELEASE,10.000,38.000,10.000,20.000,3049.000,3050.000,28.000,10.000,1.000,NEW_V15_2_GEOMETRY
V15_2_EXCAVATION_POWERHOUSE_I,V15_2_EXCAVATION_POWERHOUSE,EXCAVATION,-32.000,28.000,-124.000,-13.400,3028.000,3029.700,60.000,110.600,1.700,NEW_V15_2_GEOMETRY
V15_2_EXCAVATION_INSTALLATION_I,V15_2_EXCAVATION_INSTALLATION,EXCAVATION,-66.000,-28.000,-124.000,-13.400,3054.800,3056.465,38.000,110.600,1.665,NEW_V15_2_GEOMETRY
V15_2_EXCAVATION_SPILLWAY_I,V15_2_EXCAVATION_SPILLWAY,EXCAVATION,-37.000,40.000,14.000,135.000,3046.000,3047.500,77.000,121.000,1.500,NEW_V15_2_GEOMETRY
V15_2_EXCAVATION_ECO_RELEASE_I,V15_2_EXCAVATION_ECO_RELEASE,EXCAVATION,-37.000,40.000,-17.000,17.000,3049.000,3050.000,77.000,34.000,1.000,NEW_V15_2_GEOMETRY
V15_2_EXCAVATION_STILLING_BASIN_I,V15_2_EXCAVATION_STILLING_BASIN,EXCAVATION,36.000,147.000,14.000,135.000,3046.000,3047.500,111.000,121.000,1.500,NEW_V15_2_GEOMETRY
V15_2_EXCAVATION_SUBDAM_I,V15_2_EXCAVATION_SUBDAM,EXCAVATION,-104.000,-62.000,-124.000,-13.000,3028.000,3030.000,42.000,111.000,2.000,NEW_V15_2_GEOMETRY
V15_2_EXCAVATION_TAILWATER_I,V15_2_EXCAVATION_TAILWATER,EXCAVATION,26.500,180.500,-88.500,-13.900,3028.100,3048.200,154.000,74.600,20.100,NEW_V15_2_GEOMETRY
V15_2_LEFT_BANK_SUBDAM_I,V15_2_LEFT_BANK_SUBDAM,LEFT_BANK_SUBDAM,-102.000,-64.000,-122.000,-15.000,3030.000,3060.000,38.000,107.000,30.000,NEW_V15_2_GEOMETRY
V15_2_FISHWAY_I,V15_2_FISHWAY,FISHWAY,-115.000,120.000,-130.000,-71.000,3036.900,3046.500,235.000,59.000,9.600,NEW_V15_2_GEOMETRY
